"","Growth Form","Common Name","Other Common Names","Scientific Name","Ecoregion","Min Height","Max Height","Min Spread","Max Spread","Light","Water","Leaf Retention","Lifespan","Bloom Season","Bloom Color","Seasonal Interest","Soil","Wildlife Benefit","Native Habitat","Maintenence","Comments","References"
"","Shrub","Texas Snakeweed","Broom Snakeweed, Kindlingweed, Matchbrush, Broomweed, Turpentine Weed, Matchweed","Gutierrezia sarothrae","Central Great Plains, Chihuahuan Deserts, Edwards Plateau, High Plains, Southern Texas Plains, Southwestern Tablelands","1","3","1","3","Part Shade","Medium","Semi Evergreen","Perennial","Spring, Summer, Fall","Yellow","Seeds, Nectar","Sand, Clay, Gravelly, Rocky, Limestone, Caliche, Well Drained, Dry","Butterflies, Birds, Nectar Insects, Bees","Grassland,Woodland,Variable","Responds well to poor, dry soils. Usually an indicator of overgrazed lands.","Better color and less aggressive than annual broomweeds. Many slender, branching stems with tiny, yellow flowers cluster in tufts at ends of branches. Foliage is yellow-green and thread-like. Lower leaves are often shed by the time of flowering. Fan-shaped plant when in flower. Makes a good groundcover in poor, dry soils.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=GUSA2. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=3224&locationType=County&mapType=Normal. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Gutierrezia+sarothrae&formsubmit=Search+Terms. 5) Wasowski, Sally and Wasowski, Andy, Native Texas Plants, Landscaping Region by Region, 1988, 1991, pg 188-189. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=37483#null"
"","Shrub","Texas Sotol","Sotol","Dasylirion texanum","Edwards Plateau","2","3","3","4","Sun","Low","Evergreen","Perennial","Summer","Yellow","Seeds, Nectar","Sand, Limestone, Caliche","Birds, Hummingbirds","Grassland","Easily grown in rock gardens","Flower stalk 9-15 ft tall. Flower stalk is a strong, light weight wood that makes an excellent walking stick. Well drained soil; sharp pointed long leaves; good barrier plant (not pedestrian friendly).  Attracts hummingbirds.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 240. 4) https://www.wildflower.org/plants/result.php?id_plant=DATE3. 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Dasylirion+texanum&formsubmit=Search+Terms. 6) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=22305&locationType=County&mapType=Normal. 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=42913#null."
"","Herbaceous","Texas Thistle","","Cirsium texanum","Chihuahuan Deserts, Edwards Plateau, Southern Texas Plains, Texas Blackland Prairies","2","5","1","2","Sun","Low","Deciduous","Biennial","Spring, Summer","Blue","Seeds, Nectar, Larval Host","Sand, Loam, Clay","Butterflies, Birds, Bees","Grassland","","Texas Thistle is a single stem biennial plant with spiny leaves which are white underneath with a woolly texture. The disk flowers can be a light lavender to a deep rose-lavender. This is an important nectar and seed source for wildlife. Larval host: Painted Lady. Nectar: Black Swallowtail, Common Wood Nymph, Painted Lady, Pipevine Swallowtail.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=CITE2. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Cirsium+texanum&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=2581&locationType=County&mapType=Normal. 5) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 52, 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=36418#null"
"","Herbaceous","Texas Verbena","Slender Verbena, Texas Verbena, Slender Vervain","Verbena halei","Central Great Plains, Chihuahuan Deserts, Cross Timbers, East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, Southern Texas Plains, Texas Blackland Prairies, Western Gulf Coastal Plain","1","3","1","2","Sun","Low","Deciduous","Perennial","Spring, Summer","Blue, Purple","Nectar","Sand, Loam, Clay, Dry","Butterflies, Nectar Insects","Grassland","Texas Verbena is drought-tolerant and ideal for a xeriscape garden.","The plant has square-shaped stems which are erect, rough, and hairy. Delicate lavender trumpet-shaped flowers adorn the slender erect spikes. Nectar: Dogface, Spicebush Swallowtail.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 53. 3) https://www.wildflower.org/plants/result.php?id_plant=VEHA. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=23876&locationType=County&mapType=Normal, 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=32100#null"
"","Vine","Texas Virgin's Bower","Old Man's Beard, Drummond's Clematis, Goat's Beard","Clematis drummondii","Chihuahuan Deserts, Edwards Plateau, Southern Texas Plains, Texas Blackland Prairies","3","6","3","6","Sun, Part Shade","Low","Deciduous","Perennial","Spring, Summer","White","Nectar, Larval Host, Flowers","Sand, Loam, Clay, Limestone","Butterflies","Grassland","Can be grown from seed easily, propagated by cuttings which will root from nodes with less success, or transplanted from the field in winter.","Clematis drummondii is hardy and drought tolerant. Notable ornamental features include delicate foliage, long blooming, attractive flowers, and interesting feathery seed clusters. Larval Host: Fatal Metalmark Butterfly. Nectar: Common Wood Nymph.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=CLDR. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Clematis+drummondii&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=20682&locationType=County&mapType=Normal. 5) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 52, 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=18695#null"
"","Vine","Texas Wisteria","American Wisteria, Kentucky Wisteria","Wisteria frutescens","Western Gulf Coastal Plain","25","30","1","2","Sun, Part Shade, Shade","Medium","Deciduous","Perennial","Spring","White, Pink, Blue, Purple","Nectar, Larval Host","Sand, Loam, Clay, Acid, Neutral","Butterflies","Woodland,Wetland or Riparian","Train on sturdy arbor, wall, column, etc. Prune to shape during winter dormancy.","Showy, fragrant flowers. Blooms only on new wood, in 6""-9"" clusters. Clockwise-twining, woody vine. Less aggressive than Chinese Wisteria, and more reliable blooming. Larval host to Marine Blue, Zarucco Duskywing, and Skippers.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 362. 3) https://www.wildflower.org/plants/result.php?id_plant=WIFR. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Wisteria+frutescens&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=11957&locationType=County&mapType=Normal, 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=27021#null"
"","Cactus & Succulent","Thompson's Yucca","Big Bend Yucca, Thompson Yucca, Beaked Yucca, Soyate, Palmita, Trans-Pecos Yucca","Yucca thompsoniana","Chihuahuan Deserts","6","12","2","3","Sun","Low","Evergreen","Perennial","Spring","White","Nectar, Flowers","Rocky, Dry","Hummingbirds, Moths","Grassland","If you don't like the height, cut it off at ground level, and it will leaf out at the base again. Hard to transplant due to deep, heavy tap roots. Yuccas be grown from rhizomes, stem cuttings, or by digging offsets from the side of established plants. Adapts to any soil.","Native to the mountains of the Trans Pecos. Slow growing. Makes a good evergreen screen.  The trunk is usually unbranched. The leaves are narrow and stiff and grow in a radiating mass near the top; they are 8-24 inches long and about 1/2 inch wide in the middle. The 2-3 ft. flowering stalk holds a dense panicle of white flowers slightly above the foliage.","1) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=270&locationType=County&mapType=Normal 2) https://www.wildflower.org/plants/result.php?id_plant=YUTH. 3) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 4) Wasowski, Sally and Wasowski, Andy, Native Texas Plants, Landscaping Region by Region, 1988, 1991, pg 265. 5), Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 6) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Yucca+thompsoniana&formsubmit=Search+Terms, 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43153#null"
"","Vine","Trumpet Creeper Vine","Trumpet Vine, Common Trumpet Creeper, Cow Vine, Foxglove Vine, Hellvine, Devil's Shoestring","Campsis radicans","East Central Texas Plains, Gulf Coast Prairies and Marshes, Texas Blackland Prairies, Western Gulf Coastal Plain","10","35","1","2","Sun","Low","Deciduous","Perennial","Summer","Red, Orange, Yellow","Nectar, Larval Host","Sand, Loam, Clay, Limestone, Caliche, Alkaline, Neutral","Hummingbirds, Moths, Bees","Grassland,Woodland","Vigorous climber, can damage roofing, wood, stone and brick. Prune and/or mow to control suckers.","Woody vine. Sap may be skin irritant. Attracts hummingbirds.  Can be extremely aggressive. Cultivars may be somewhat less aggressive, but are hybridized with non-native vines.  Native Habitat: In trees of moist woods or along fence rows in old fields. Larval Host: Trumpet Vine Sphinx Moth.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=CARA2. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Campsis+radicans&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=4967&locationType=County&mapType=Normal. 5) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 6) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 357. 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=34309#null"
"","Shrub","Turk's Cap","Wax Mallow, Bleeding Hearts, Mexican Apple, Manzanita","Malvaviscus arboreus","East Central Texas Plains, Gulf Coast Prairies and Marshes, Texas Blackland Prairies, Western Gulf Coastal Plain","2","6","3","5","Sun, Shade","Low","Deciduous","Perennial","Summer, Fall","Red","Fruit, Nectar","Sand, Clay, Limestone, Well Drained, Moist","Butterflies, Birds, Small Mammals, Hummingbirds, Bees","Woodland","Prune to keep confined or when leggy","Spreading shrub, often as broad as high. Bright-red, pendant, hibiscus-like flowers never fully open, their petals overlapping to form a loose tube with the staminal column protruding - said to resemble a Turkish turban.  Especially useful in shady situations. Fruit for wildlife; attracts birds, hummingbirds and butterflies; spreads aggressively; susceptible to freeze. Nectar: Cloudless Giant Sulphur.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48, 53. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 251. 4) https://www.wildflower.org/plants/result.php?id_plant=MAARD. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=28151&locationType=County&mapType=Normal. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=21843#null"
"","Cactus & Succulent","Twistleaf Yucca","Twisted-leaf Yucca, Texas Yucca, Spanish Dagger","Yucca rupicola","Edwards Plateau","1","2","1","1","Sun, Part Shade","Low","Evergreen","Perennial","Spring","White","Nectar, Larval Host","Sand, Loam, Clay, Limestone, Caliche, Well Drained","Butterflies, Deer, Hummingbirds, Moths","Grassland,Woodland","Found on rocky hillsides of limestone ledges, open plains, woodlands. Twist-leaf yucca is great to plant in dry, shady spots and shaded rock gardens., Spent flower stems add summer/winter interest, remove before spring.","Leaves blue-green & twist with age; deer will eat the clusters of white bell shaped flowers, but not foliage. Endemic to the Edwards Plateau Ecoregion of Texas. Larval Host: Kendall's Yucca Skipper.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 265. 4) https://www.wildflower.org/plants/result.php?id_plant=YURU. 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Yucca+rupicola&formsubmit=Search+Terms. 6) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=245&locationType=County&mapType=Normal, 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=565606#null"
"","Shrub","Two Leaved Senna","Twoleaf Senna","Senna roemeriana","Central Great Plains, Chihuahuan Deserts, Cross Timbers, Edwards Plateau, Texas Blackland Prairies","1","3","1","2","Sun, Part Shade","Low","Deciduous","Perennial","Spring, Summer, Fall","Yellow","Seeds, Nectar, Larval Host, Flowers","Clay, Caliche, Dry","Butterflies, Birds, Bees","Grassland,Woodland","Plants of this genus can cause poisoning and fatal illness in humans.","Showy, bright yellow pea-like flowers. Form a neat mound shape as it grows. Larval Host: Cloudless Giant Sulphur.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 53. 3) https://www.wildflower.org/plants/result.php?id_plant=SERO8. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=11697&locationType=County&mapType=Normal, 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=505174#null"
"","Grass & Sedge","Two-flowered Trichloris","False Rhodes Grass","Trichloris crinita","Chihuahuan Deserts, Southern Texas Plains","2","3","0.25","0.5","Sun, Part Shade","Low","Deciduous","Perennial","Spring, Summer","White, Green","","Sand, Loam, Clay, Limestone, Calcareous, Well Drained","","","Low maintenance.","Two-flowered Trichloris is a showy bunchgrass, 2-3 ft. tall, with fingers of white, feathery seed heads. Long blooming season.","1) Wasowski, Sally and Wasowski, Andy, Native Texas Plants, Landscaping Region by Region, 1988, 1991, pg 133. 2) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=18465&locationType=County&mapType=Normal. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Trichloris+crinita&formsubmit=Search+Terms. 5) https://www.wildflower.org/plants/result.php?id_plant=TRCR9, 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=522796#null"
"","Tree","Two-Wing Silverbell","Two Winged Silverbell, American Snowdrop Tree, Snowdrop Tree, Snowbell, Cowlicks","Halesia diptera","Western Gulf Coastal Plain","10","25","10","15","Part Shade","Low","Deciduous","Perennial","Spring","White","Fruit, Fall Color","Sand, Loam, Acid, Well Drained, Moist","Birds, Small Mammals","Woodland,Wetland or Riparian","Slow growing, don't prune","Small rounded tree, 3-7"" leaves turn yellow in fall.  White, bell-shaped blooms in spring with four petals and tight cluster of stamens in middle resembles candle in a holder.  Ornamental fruits with two wings and a seed turn tan in fall, feed wildlife.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 290. 3) https://www.wildflower.org/plants/result.php?id_plant=HADI3. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Halesia+diptera&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=23413&locationType=County&mapType=Normal. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=23865#null"
"","Wetland","Upright Burhead","","Echinodorus berteroi","Edwards Plateau, Gulf Coast Prairies and Marshes, Southern Texas Plains, Texas Blackland Prairies","1","3","1","3","Sun, Part Shade","Low, Medium","Deciduous","Annual","Summer, Fall","White, Yellow","Flowers","Mud","","Wetland or Riparian","UK","Members of the Water-Plantain Family grow in water, in swamps, on muddy banks, or occasionally in wet sand. Each plant has long-petioled leaves in a clump with a flowering stem rising among them. The white flower stamens and pistils may be in separate flowers.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=ECBE2. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Echinodorus+berteroi&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=306&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=182443#null."
